query_family,representative_url,target_channel,observed_queries,cannibalization_candidates,cannibalization_risk,operating_rule,data_status
compound,/tools/compound-interest,Google recovery + Naver support,복리 계산기; 복리; compound interest,/posts/personalFinance/annual-vs-monthly-compound | /posts/personalFinance/simple-vs-compound-interest | /tools/goal-simulator,HIGH,"대표 URL 1개만 유지, 28일간 링크/본문 변경 금지",PARTIAL
monthly compound,/posts/personalFinance/annual-vs-monthly-compound,Naver support,월복리 계산; 연복리 월복리,/tools/compound-interest | /posts/personalFinance/compound-return-calculation,MEDIUM_HIGH,"계산 의도는 도구, 설명 의도는 글로 분리 필요",DATA_REQUIRED
CAGR,/tools/cagr-calculator,Naver primary,cagr; CAGR 계산기; 연평균 수익률 계산기,/posts/personalFinance/what-is-cagr | /posts/investingInfo/cagr-7percent-reality-check | /posts/investingInfo/why-check-cagr-etf | /en/posts/personalFinance/what-is-cagr,HIGH,정의 글과 계산기 간 대표 의도 고정,OBSERVED
DSR,/tools/dsr-ltv-calculator,Naver primary,ltv dsr 계산기; 주담대 dsr 계산기; 주택담보대출 dsr 계산기,/posts/personalFinance/dsr-40-income-loan-limit-table | /posts/personalFinance/dsr-ltv-meaning-loan-limit | /tools/home-buying-budget-calculator,HIGH,계산 의도는 DSR/LTV 도구로 고정,OBSERVED
LTV,/tools/dsr-ltv-calculator,Naver primary,ltv 계산기; ltv dsr 계산기,/posts/personalFinance/dsr-ltv-meaning-loan-limit | /tools/home-buying-budget-calculator,HIGH,DSR와 같은 대표 계산기로 묶음,OBSERVED
home buying budget,/tools/home-buying-budget-calculator,Naver support,아파트 구매 계산기; 아파트 대출금 계산기,/tools/dsr-ltv-calculator | /tools/mortgage-loan-calculator | /market/real-estate,MEDIUM_HIGH,"직접 URL baseline 누락, query family만 관찰",DATA_REQUIRED
mortgage payment,/tools/mortgage-loan-calculator,Google recovery + Naver support,주담대 원리금 계산기; mortgage payment calculator,/tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator | /en/tools/mortgage-loan-calculator,HIGH,상환액 의도만 mortgage 도구로 분리,PARTIAL
repayment method,/tools/mortgage-loan-calculator,Naver support,원리금균등; 원금균등; 체증식; 상환 방식,/posts/personalFinance/mortgage-principal-interest-vs-principal-equal | /tools/dsr-ltv-calculator,MEDIUM,"상환방식 설명 글은 보조, 계산 대표는 mortgage 도구",DATA_REQUIRED
FIRE,/tools/fire-calculator,Naver watchlist,파이어족 계산기; 은퇴 계산기; FIRE calculator,/posts/personalFinance/fire-calculator-how-much-needed | /posts/personalFinance/fire-number-target-portfolio | /en/tools/fire-calculator,MEDIUM,freeze 최소 URL은 아니지만 대표 도구이므로 low-interference 대상 제외,DATA_REQUIRED
target portfolio,/tools/goal-simulator,Naver primary,목표금액 계산; 월 투자금 계산; target portfolio,/posts/personalFinance/how-much-per-month-for-100m | /posts/personalFinance/monthly-investment-target-return-table | /en/tools/goal-simulator,MEDIUM_HIGH,목표 금액/월 납입 계산은 goal simulator로 고정,PARTIAL
