topic_id,type,primary_question,data_needed,methodology,expected_chart,unique_value,target_locale,related_existing_page,overlap_risk,production_effort,priority
GDATA-001,historical comparison,KOSPI 지표 등급이 좋았던 날과 나빴던 날의 다음 구간 수익률은 얼마나 달랐나?,"STOCK_INVEST_INFO KOSPI OHLC, grade columns, trade_date",grade bucket별 T+1/T+5/T+20 forward return 비교,bucketed bar chart + distribution table,FinMap 보유 지표 등급과 실제 사후 수익률을 연결,ko,/market/indices,LOW,M,P1
GDATA-002,rolling period,최근 1/3/6개월 롤링 수익률이 이후 KOSPI 성과를 설명했나?,"KOSPI close history, rolling windows",rolling return decile별 forward return,line chart + decile table,정적 지수 설명이 아니라 기간별 검증형 콘텐츠,ko,/posts/investingInfo/kospi-basics,LOW,M,P1
GDATA-003,drawdown/recovery,KOSPI 하락폭별 평균 회복 기간은 어느 정도였나?,KOSPI high/low/close history,peak-to-trough drawdown 탐지 후 recovery days 산출,drawdown depth histogram + recovery table,하락장 체감 질문에 직접 답하는 데이터 콘텐츠,ko,/market/indices,LOW,M,P1
GDATA-004,DCA start-date analysis,적립식 투자는 시작일에 따라 결과 차이가 얼마나 났나?,"KOSPI/S&P500/Nasdaq monthly close, contribution assumptions",월별 시작 시점별 DCA ending value 비교,heatmap by start month/year,DCA 계산기와 별개로 과거 시작일 민감도를 제공,"ko,en",/tools/dca-calculator,HIGH,L,P2 after freeze
GDATA-005,lump-sum vs installment,목돈 투자와 12개월 분할 투자는 어떤 시장에서 유리했나?,"Index monthly close, cash deployment schedule",lump-sum vs installment rolling start 비교,win-rate chart + ending value bands,투자 방식 선택을 과거 데이터로 설명,"ko,en",/posts/investingInfo/lump-sum-vs-dca-market-cycle,HIGH,L,P2 after freeze
GDATA-006,yield/index relationship,미국 10년물 금리 급등 후 KOSPI는 어떻게 움직였나?,TNX and KOSPI daily close,TNX change bucket별 KOSPI forward return,scatter + bucket table,금리와 국내 주식의 실제 관계를 수치화,ko,/posts/investingInfo/us10y-treasury-yield-basics,MEDIUM,M,P1
GDATA-007,DXY/USD-KRW relationship,달러인덱스와 원달러 환율이 같이 오를 때 KOSPI는 어땠나?,"DXY, USD/KRW, KOSPI daily close",DXY/KRW 20D change quadrant별 forward return,quadrant chart + return table,환율 체감 이슈를 국내 투자 데이터로 연결,ko,/posts/investingInfo/dxy-dollar-index-basics,MEDIUM,M,P1
GDATA-008,WTI/equity relationship,유가 급등/급락 구간에서 주요 지수는 어떻게 반응했나?,"WTI, KOSPI, S&P500, Nasdaq close",WTI shock bucket별 equity forward return,event study line chart,원자재와 주식시장 관계를 실증형으로 제시,"ko,en",/posts/investingInfo/wti-crude-oil-basics,LOW_MEDIUM,M,P2
GDATA-009,historical comparison,미국 지수 강세 다음 날 KOSPI는 동조했나?,"S&P500, Nasdaq, Dow, KOSPI daily close",US index return bucket별 next KOSPI return,lead-lag table + bars,해외장-국내장 연결 질문에 특화,ko,/market/indices,LOW,M,P1
GDATA-010,rolling period,강달러 지속 구간의 KOSPI 롤링 성과는 어땠나?,"DXY, USD/KRW, KOSPI rolling windows",DXY rolling change percentile별 KOSPI return,rolling line + percentile table,달러 강세라는 반복 검색 의도에 맞는 evergreen 데이터,ko,/posts/investingInfo/weak-won-stock-market-impact,MEDIUM,M,P2
