url,locale,content_type,title,category,tags,last_modified,known_90d_clicks,known_90d_impressions,overlap_group,is_freeze_url,is_naver_top_page,external_link_core_status,search_intent_overlap_with_freeze,classification,allowed_edit_scope,reason
/en/posts/economicInfo/eu-russia-gas-phaseout-price-channel,en,post,"Europe’s Shift Away from Russian Gas: How Contracts, Storage, and Substitution Drive Prices",Economic Info,"[""Europe gas"",""energy"",""storage"",""contracts"",""LNG"",""substitution"",""inflation"",""macro""]",2026-01-27,DATA_REQUIRED,DATA_REQUIRED,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/en/posts/economicInfo/war-theme-investing-price-chain-not-winners,en,post,"The War-Theme Trap: Don’t Chase “Winners”—Read the Price Chain (Costs, Freight, FX, Demand)",Economic Info,"[""geopolitics"",""themes"",""defense"",""commodities"",""shipping"",""FX"",""margins"",""macro""]",2026-01-28,0,1,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/en/posts/personalFinance/emergency-fund-by-risk,en,post,"Your Emergency Fund Isn’t a ‘Months’ Number — It’s a Risk Number (Job, Family, Debt)",Personal Finance,"[""emergency fund"", ""budgeting"", ""cash flow"", ""risk management"", ""household finance"", ""debt"", ""interest rates"", ""financial planning""]",2026-01-14,DATA_REQUIRED,DATA_REQUIRED,real-estate-loan,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/en/posts/personalFinance/inflation-household-survival-strategy,en,post,"Household Survival in an Inflation Era: Cut Fixed Costs, Control Spending, and Protect Cash Flow",Personal finance,"[""inflation"",""budgeting"",""household finance"",""fixed costs"",""cash flow"",""emergency fund"",""expenses"",""debt"",""interest rates"",""Korea""]",2026-01-10,0,1,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/en/posts/personalFinance/personal-finance-3pillars,en,post,"The Three Pillars of Personal Finance: Budgeting, Emergency Funds, and Long-Term Investing (A Practical Setup Guide)",Personal Finance,"[""budgeting"",""emergency fund"",""long-term investing"",""personal finance"",""cash flow"",""financial planning""]",2025-12-31,0,4,dca-cagr,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/en/posts/personalFinance/personal-start-5steps,en,post,"First Salary Budget Setup: 5 Steps to Build Cash Flow, Emergency Fund, and Investing Habits",Personal Finance,"[""first salary budget"", ""young professionals"", ""first paycheck"", ""emergency fund"", ""monthly investing"", ""goal planning"", ""personal finance setup""]",2026-06-19,DATA_REQUIRED,DATA_REQUIRED,compound-goal,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/economicInfo/indicator-basics,ko,post,경제지표 읽는 법: GDP·실업률·PMI를 실제로 쓰는 방법,경제정보,"[""경제지표"",""GDP"",""실업률"",""PMI"",""매크로"",""경기판단""]",2025-12-29,DATA_REQUIRED,DATA_REQUIRED,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/economicInfo/interest-rate-basics,ko,post,interest-rate-basics,,,2026-07-01,0,5,real-estate-loan,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/economicInfo/tariffs-growth-margins-fx-package-shock,ko,post,tariffs-growth-margins-fx-package-shock,,,2026-06-30,DATA_REQUIRED,DATA_REQUIRED,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/investingInfo/modern-6040-risk-budget,ko,post,modern-6040-risk-budget,,,2026-06-19,DATA_REQUIRED,DATA_REQUIRED,dca-cagr,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/investingInfo/seoul-gyeonggi-incheon-risk-budget-framework,ko,post,seoul-gyeonggi-incheon-risk-budget-framework,,,2026-06-26,DATA_REQUIRED,DATA_REQUIRED,real-estate-data,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
/posts/personalFinance/inflation-household-survival-strategy,ko,post,"물가 상승 시대의 가계 생존전략: 생활비/고정비 줄이기, 현금흐름 관리(가계부·예산·비상금)",재테크,"[""인플레이션"",""물가상승"",""가계부"",""예산"",""고정비"",""생활비"",""현금흐름"",""비상금"",""부채관리"",""가계생존전략""]",2026-01-10,DATA_REQUIRED,DATA_REQUIRED,macro-market,FALSE,FALSE,DATA_REQUIRED,none_detected,SAFE_REFRESH,non-title refresh / examples / data support only after backlink check,low 90d click/impression footprint
