File,Change Type,First Stage,Latest Stage,Deploy Required,Generated,User Data,Review,Category,Tracked,Insertions,Deletions,Reason
_components/ToolBacklinkKit.js,M,P0-2A,P0-2A,DEPLOY_REQUIRED,no,no,PASS,A_RUNTIME_CODE,yes,5,1,P0-2A snippet hygiene: tool share panel data-nosnippet.
content/posts/economicInfo/en/gold-geopolitics-real-rates-dollar-uncertainty.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,1,1,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/economicInfo/en/hormuz-risk-oil-insurance-freight-premium.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,1,1,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/economicInfo/en/oil-shock-to-usdkrw-korea-transmission.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,1,1,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/economicInfo/en/war-theme-investing-price-chain-not-winners.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,1,1,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/investingInfo/en/modern-6040-risk-budget.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,3,3,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/investingInfo/en/rates-discount-mortgage-demand-apt-prices.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,2,2,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/personalFinance/en/annual-vs-monthly-compound.md,M,P1-1B-2,P1-1B-2,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,13,7,P1-1B-2 EN snippet and first-answer experiment.
content/posts/personalFinance/en/apt-dashboard-home-goal-roadmap.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,2,2,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/personalFinance/en/how-much-to-invest-monthly-for-target-portfolio.md,M,P1-1B-2,P1-1B-2,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,14,27,P1-1B-2 EN snippet and first-answer experiment.
content/posts/personalFinance/en/is-dca-better-in-a-bear-market.md,M,P1-1B-2,P1-1B-2,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,10,23,P1-1B-2 EN snippet and first-answer experiment.
content/posts/personalFinance/en/simple-vs-compound.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,2,2,P0-2B EN internal tool route corrected from KO /tools to /en/tools.
content/posts/personalFinance/ko/dsr-40-income-loan-limit-table.md,M,P1-1B-1,P1-1B-1,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,17,2,P1-1B-1 KO low-risk expansion; table assumptions protected.
content/posts/personalFinance/ko/what-is-cagr.md,M,P1-1B-1,P1-1B-1,DEPLOY_REQUIRED,no,no,PASS,A_CONTENT,yes,23,25,P1-1B-1 KO low-risk expansion; title/H1 protected.
docs/blog-contents.md,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_REGISTRY_DOC,yes,124,0,P0-2B registry additions for local post link checks.
package.json,M,P0-2B,P0-2B,DEPLOY_REQUIRED,no,no,PASS,A_RUNTIME_CODE,yes,1,1,P0-2B check:posts-links registry path moved to docs/blog-contents.md.
pages/posts/[category]/[slug].js,M,P0-2A,P0-2A,DEPLOY_REQUIRED,no,no,PASS,A_RUNTIME_CODE,yes,15,3,P0-2A snippet hygiene: views hidden when zero; share/comments data-nosnippet.
