source,query,query_normalized,query_family,locale_hint,is_branded,brand_match_reason,clicks,impressions,ctr,position,coverage_type,is_complete_dataset,ranking_basis,possible_url_targets,cannibalization_status,input_file
naver,cagr,cagr,cagr,en,false,,47,15244,0.003,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/en/posts/investingInfo/cagr-7percent-reality-check | /en/posts/investingInfo/dca-consistency-7-fail-patterns | /en/posts/investingInfo/diagnose-investing-skill-with-cagr | /en/posts/investingInfo/why-check-cagr-etf | /en/posts/personalFinance/dca-fx-volatility-decomposition,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,서울 집값 순위,서울 집값 순위,서울집값순위,ko,false,,10,2280,0.004,,CLICK_TOP_30,false,NAVER_CLICK_TOP,,LIMITED_DATA,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,cagr 계산법,cagr 계산법,cagr계산법,ko,false,,12,1441,0.008,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/posts/personalFinance/dca-vs-lump-sum-when-results-differ | /posts/personalFinance/what-is-cagr | /en/posts/investingInfo/cagr-7percent-reality-check | /en/posts/investingInfo/dca-consistency-7-fail-patterns | /en/posts/investingInfo/diagnose-investing-skill-with-cagr,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,마곡 집값,마곡 집값,마곡집값,ko,false,,19,816,0.023,,CLICK_TOP_30,false,NAVER_CLICK_TOP,,LIMITED_DATA,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,주담대 dsr 계산기,주담대 dsr 계산기,주담대dsr계산기,ko,false,,4,785,0.005,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/posts/personalFinance/interest-rate-1p-loan-limit-impact | /posts/personalFinance/ltv-dsr-calculator-guide | /tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator | /posts/personalFinance/cash-100m-200m-300m-apartment-budget,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,잠실 집값,잠실 집값,잠실집값,ko,false,,9,769,0.012,,CLICK_TOP_30,false,NAVER_CLICK_TOP,,LIMITED_DATA,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,아파트 대출금 계산기,아파트 대출금 계산기,아파트대출금계산기,ko,false,,3,669,0.004,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/posts/investingInfo/rates-discount-mortgage-demand-apt-prices | /posts/personalFinance/apartment-buying-calculator-guide | /posts/personalFinance/cash-100m-200m-300m-apartment-budget | /tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,잠실 아파트 순위,잠실 아파트 순위,잠실아파트순위,ko,false,,3,580,0.005,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/market | /market/real-estate | /market/real-estate/gangnam-top100 | /market/real-estate/gangnam3-top100 | /market/real-estate/magok-top100,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,주담대 원리금 계산기,주담대 원리금 계산기,주담대원리금계산기,ko,false,,10,518,0.019,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/tools/mortgage-loan-calculator | /posts/personalFinance/interest-rate-1p-loan-limit-impact | /posts/personalFinance/ltv-dsr-calculator-guide | /tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,물가가 오르면 금리,물가가 오르면 금리,물가가오르면금리,ko,false,,4,430,0.009,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/posts/economicInfo/inflation-rate-basics,LIMITED_DATA,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,강남 아파트 순위,강남 아파트 순위,강남아파트순위,ko,false,,5,369,0.014,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/market | /market/real-estate | /market/real-estate/gangnam-top100 | /market/real-estate/gangnam3-top100 | /market/real-estate/magok-top100,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,cagr 읽는법,cagr 읽는법,cagr읽는법,ko,false,,4,314,0.013,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/en/posts/investingInfo/cagr-7percent-reality-check | /en/posts/investingInfo/dca-consistency-7-fail-patterns | /en/posts/investingInfo/diagnose-investing-skill-with-cagr | /en/posts/investingInfo/why-check-cagr-etf | /en/posts/personalFinance/dca-fx-volatility-decomposition,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,주택담보대출 dsr 계산기,주택담보대출 dsr 계산기,주택담보대출dsr계산기,ko,false,,4,219,0.018,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/tools/dsr-ltv-calculator | /posts/personalFinance/cash-100m-200m-300m-apartment-budget | /posts/personalFinance/interest-rate-1p-loan-limit-impact | /posts/personalFinance/ltv-dsr-calculator-guide | /tools/home-buying-budget-calculator,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
naver,환율상승 수혜주,환율상승 수혜주,환율상승수혜주,ko,false,,4,213,0.019,,CLICK_TOP_30,false,NAVER_CLICK_TOP,/posts/economicInfo/war-theme-investing-price-chain-not-winners | /posts/investingInfo/usd-krw-weak-won-sector-map-kospi,POSSIBLE_OVERLAP,reports\search-performance-input\naver-queries-top30-2026-04-23_2026-07-19.csv
