url,locale,content_type,category,role,title,h1,description_length,inbound_internal_links,outbound_internal_links,overlap_group,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_actual_date_start,gsc_actual_date_end,naver_top30_clicks,naver_top30_impressions,naver_top30_ctr,naver_top30_rank,naver_is_top30,naver_coverage_type,bing_clicks,bing_impressions,bing_ctr,bing_position,known_clicks,known_impressions,known_clicks_excluding_naver_total,known_impressions_excluding_naver_total,platform_observed_clicks,platform_observed_impressions,platform_count,query_count,top_queries,opportunity_type,opportunity_score,recommended_action,data_confidence,manual_review_required
/en/posts/personalFinance/is-dca-better-in-a-bear-market,en,post,personalFinance,EN_MAINTENANCE_ONLY,Is Dollar-Cost Averaging Better in a Bear Market?,Is Dollar-Cost Averaging Better in a Bear Market?,200,0,4,dca-cagr,0,3,0,4.67,2026-06-17,2026-07-19,,,,,false,,0,349,0,3.88,0,352,0,352,0,352,2,,,QUICK_WIN,100,P1-1B title/description/intro SERP alignment review,SUFFICIENT,false
/en/posts/personalFinance/annual-vs-monthly-compound,en,post,personalFinance,EN_MAINTENANCE_ONLY,Annual vs Monthly Compounding: Which Grows Faster?,Annual vs Monthly Compounding: Which Grows Faster?,210,5,5,compound-goal,0,5,0,9.6,2026-06-17,2026-07-19,,,,,false,,0,145,0,8.61,0,150,0,150,0,150,2,,,QUICK_WIN,91,P1-1B title/description/intro SERP alignment review,SUFFICIENT,false
/en/posts/investingInfo/dxy-dollar-index-basics,en,post,investingInfo,EN_MAINTENANCE_ONLY,"What Is DXY? Dollar Index, USD/KRW, and KOSPI Explained","What Is DXY? Dollar Index, USD/KRW, and KOSPI Explained",128,15,4,macro-market,,,,,,,,,,,false,,0,300,0,8.32,0,300,0,300,0,300,1,,,QUICK_WIN,85,P1-1B title/description/intro SERP alignment review,SUFFICIENT,false
/en/posts/investingInfo/tnx-basics,en,post,investingInfo,EN_MAINTENANCE_ONLY,"10-Year Treasury Yield (TNX): How It Moves Stocks, FX, and Korea","10-Year Treasury Yield (TNX): How It Moves Stocks, FX, and Korea",120,25,19,macro-market,0,32,0,9.84,2026-06-17,2026-07-19,,,,,false,,2,121,0.0165,4.92,2,153,2,153,2,153,2,,,QUICK_WIN,79,P1-1B title/description/intro SERP alignment review,SUFFICIENT,false
/en/posts/personalFinance/dca-vs-lump-sum-when-results-differ,en,post,personalFinance,EN_MAINTENANCE_ONLY,DCA vs Lump Sum: When Do the Results Differ?,DCA vs Lump Sum: When Do the Results Differ?,167,2,4,dca-cagr,0,1,0,9,2026-06-17,2026-07-19,,,,,false,,0,40,0,5.97,0,41,0,41,0,41,2,,,QUICK_WIN,78,P1-1B title/description/intro SERP alignment review,SUFFICIENT,false
/en/posts/personalFinance/how-much-to-invest-monthly-for-target-portfolio,en,post,personalFinance,EN_MAINTENANCE_ONLY,Monthly Investment Needed to Reach a Target Portfolio,Monthly Investment Needed to Reach a Target Portfolio,230,2,4,compound-goal,0,1,0,29,2026-06-17,2026-07-19,,,,,false,,0,399,0,5.35,0,400,0,400,0,400,2,,,PAGE_ONE_CANDIDATE,83,P1-1B metadata and answer-summary scope review,SUFFICIENT,false
/posts/economicInfo/inflation-rate-basics,ko,post,economicInfo,SUPPORTING_ARTICLE,물가와 금리의 기본 이해: 왜 금리가 오르면 시장이 흔들릴까?,물가와 금리의 기본 이해: 왜 금리가 오르면 시장이 흔들릴까?,72,18,15,real-estate-loan,,,,,,,21,2331,0.009,10,true,CLICK_TOP_30,0,31,0,7.1,21,2362,0,31,21,2362,2,,,NAVER_WINNER,89,Hold or low-risk refresh only,SUFFICIENT,false
/tools/cagr-calculator,ko,tool,tools,PRIMARY_TOOL,CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),99,41,3,compound-goal,,,,,,,95,16270,0.006,2,true,CLICK_TOP_30,0,7,0,7,95,16277,0,7,95,16277,2,,,NAVER_WINNER,87,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/magok-top100,ko,market,realEstate,DATA_PAGE,마곡 아파트 집값 TOP 100 | 강서구 마곡동 실거래 순위,마곡 아파트 집값 TOP 100,0,8,7,real-estate-loan,,,,,,,40,1282,0.031,6,true,CLICK_TOP_30,0,7,0,5.43,40,1289,0,7,40,1289,2,,,NAVER_WINNER,81,Hold or low-risk refresh only,LIMITED,true
/posts/personalFinance/annual-vs-monthly-compound,ko,post,personalFinance,SUPPORTING_ARTICLE,연복리 vs 월복리: 목표 달성 기간이 얼마나 달라질까?,연복리 vs 월복리: 목표 달성 기간이 얼마나 달라질까?,65,7,6,compound-goal,,,,,,,9,332,0.027,14,true,CLICK_TOP_30,0,2,0,5,9,334,0,2,9,334,2,,,NAVER_WINNER,78,Hold or low-risk refresh only,LIMITED,false
/market/real-estate/songpa-top100,ko,market,realEstate,DATA_PAGE,송파(잠실) 아파트 집값 TOP 100 | 송파구 실거래 순위,송파(잠실) 아파트 집값 TOP 100,0,5,6,real-estate-loan,,,,,,,35,2302,0.015,7,true,CLICK_TOP_30,2,11,0.1818,3,37,2313,2,11,37,2313,2,,,NAVER_WINNER,77,Hold or low-risk refresh only,LIMITED,true
/tools/dsr-ltv-calculator,ko,tool,tools,PRIMARY_TOOL,LTV DSR 계산기 - 주택담보대출 한도와 아파트 구매 가능액 계산,LTV DSR 계산기: 주담대 한도와 아파트 구매 가능액 계산,107,23,12,real-estate-loan,,,,,,,118,34584,0.003,1,true,CLICK_TOP_30,0,1,0,7,118,34585,0,1,118,34585,2,,,NAVER_WINNER,77,Hold or low-risk refresh only,LIMITED,false
