url,target_channel,target_query_family,last_modified,deploy_date,observation_start_date,observation_end_date,frozen_fields,baseline_source,baseline_clicks,baseline_impressions,baseline_ctr,baseline_position,baseline_rank_or_naver_top30_rank,gsc_recent_clicks,gsc_recent_impressions,gsc_recent_position,gsc_previous_clicks,gsc_previous_impressions,naver_90d_clicks,naver_90d_impressions,naver_90d_ctr,ga4_landing_sessions,calculation_event_count,evidence_note
/tools/compound-interest,Google,compound / monthly compound,2026-07-08,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,GSC recent page export 2026-07-22..2026-07-28,0,9,0%,10.44,11,0,9,10.44,0,139,20,5298,0.4%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/tools/cagr-calculator,Naver,CAGR / annualized return,2026-06-23,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,95,16270,0.6%,11.33,2,0,3,11.33,0,47,95,16270,0.6%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/tools/dca-calculator,Naver,DCA / installment investing,2026-06-23,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,22,630,3.5%,14,9,0,2,14,0,18,22,630,3.5%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/tools/goal-simulator,Naver,target portfolio / monthly investment,2026-06-23,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,7,49,14.3%,11.4,17,0,10,11.4,1,16,7,49,14.3%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/tools/dsr-ltv-calculator,Naver,DSR / LTV,2026-07-21,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,118,34584,0.3%,19,1,0,2,19,0,5,118,34584,0.3%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/tools/home-buying-budget-calculator,Naver,home buying budget / apartment affordability,2026-07-22,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED: direct page baseline missing in supplied exports
/tools/mortgage-loan-calculator,Google,mortgage payment / repayment method,2026-07-21,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,GSC recent page export 2026-07-22..2026-07-28,0,10,0%,13.2,DATA_REQUIRED,0,10,13.2,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/en/tools/mortgage-loan-calculator,Google,mortgage payment / repayment method,2026-07-21,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,GSC recent page export 2026-07-22..2026-07-28,0,11,0%,22.82,DATA_REQUIRED,0,11,22.82,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/market/real-estate,Naver,real estate dashboard / apartment prices,2026-06-04,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,4,62,6.5%,14,24,0,3,14,0,12,4,62,6.5%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
/posts/personalFinance/dsr-40-income-loan-limit-table,Naver,DSR 40 income loan limit,2026-07-22,DATA_REQUIRED,2026-08-06,2026-09-03,title|meta_description|H1|slug|body|frontmatter|internal_links|calculator_ui|calculator_logic|GA4_events|ads|canonical|hreflang|robots|sitemap|structured_data|redirects|dependencies,Naver Search Advisor page top30 2026-04-23..2026-07-19,18,538,3.3%,33,12,0,3,33,0,3,18,538,3.3%,DATA_REQUIRED,DATA_REQUIRED,Observed in available page-level export
